hoja,filas_hoja,columnas_hoja,orden_columna,nombre_columna,tipo_dato,valores_nulos,porcentaje_nulos,valores_unicos,ejemplos_valores
Temp2,11768,5,1,ANIO,int64,0,0.0,8,2018 | 2019 | 2020 | 2021 | 2022
Temp2,11768,5,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp2,11768,5,3,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp2,11768,5,4,ES_DELITO_x,object,0,0.0,5,1.Delitos | 2.Faltas | 4.Violencia contra la mujer e int | Otros | 3. Niños y adolescentes
Temp2,11768,5,5,n_dist_ID_DGC,int64,0,0.0,2125,429 | 45 | 200 | 4 | 918
Temp3,14482,5,1,ANIO,int64,0,0.0,8,2018 | 2019 | 2020 | 2021 | 2022
Temp3,14482,5,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp3,14482,5,3,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp3,14482,5,4,PRINCIPALES_TIPOS,object,0,0.0,6,"Delitos patrimoniales | Delitos contra la seguridad pública | Delitos contra la vida, el cuerpo y la salud | Delitos contra la libertad | Delitos contra la administración pública"
Temp3,14482,5,5,n_dist_ID_DGC,int64,0,0.0,1486,244 | 38 | 99 | 24 | 5
Temp4,19417,5,1,ANIO,int64,0,0.0,8,2018 | 2019 | 2020 | 2021 | 2022
Temp4,19417,5,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp4,19417,5,3,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp4,19417,5,4,PMODALIDADES,object,0,0.0,9,Estafa | Extorsión | Homicidio | Hurto | Otros
Temp4,19417,5,5,n_dist_ID_DGC,int64,0,0.0,1434,8 | 2 | 1 | 148 | 229
Temp5,291014,9,1,ANIO,int64,0,0.0,8,2018 | 2019 | 2020 | 2021 | 2022
Temp5,291014,9,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp5,291014,9,3,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp5,291014,9,4,PROV_HECHO,object,0,0.0,195,BAGUA | BONGARA | CHACHAPOYAS | CONDORCANQUI | LUYA
Temp5,291014,9,5,DIST_HECHO,object,0,0.0,1682,ARAMANGO | BAGUA | COPALLIN | IMAZA | LA PECA
Temp5,291014,9,6,UBIGEO_HECHO,int64,0,0.0,1833,10202 | 10201 | 10203 | 10205 | 10206
Temp5,291014,9,7,PRINCIPALES_TIPOS,object,0,0.0,6,"Delitos contra la libertad | Delitos patrimoniales | Delitos contra la seguridad pública | Delitos contra la vida, el cuerpo y la salud | Delitos contra la administración pública"
Temp5,291014,9,8,n_dist_ID_DGC,int64,0,0.0,1004,3 | 45 | 16 | 13 | 5
Temp5,291014,9,9,DIST_EMERGENCIA,int64,0,0.0,2,0 | 1
Temp5.2,242576,9,1,ANIO,int64,0,0.0,8,2018 | 2019 | 2020 | 2021 | 2022
Temp5.2,242576,9,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp5.2,242576,9,3,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp5.2,242576,9,4,PROV_HECHO,object,0,0.0,195,BAGUA | BONGARA | CHACHAPOYAS | CONDORCANQUI | LUYA
Temp5.2,242576,9,5,DIST_HECHO,object,0,0.0,1682,ARAMANGO | BAGUA | COPALLIN | IMAZA | LA PECA
Temp5.2,242576,9,6,UBIGEO_HECHO,int64,0,0.0,1833,10202 | 10201 | 10203 | 10205 | 10206
Temp5.2,242576,9,7,P_MODALIDADES,object,0,0.0,6,Otros | Estafa | Hurto | Robo | Extorsión
Temp5.2,242576,9,8,n_dist_ID_DGC,int64,0,0.0,731,3 | 2 | 25 | 47 | 7
Temp5.2,242576,9,9,DIST_EMERGENCIA,int64,0,0.0,2,0 | 1
Temp6,140426,10,1,ANIO,int64,0,0.0,1,2024
Temp6,140426,10,2,MES,int64,0,0.0,12,1 | 2 | 3 | 4 | 5
Temp6,140426,10,3,UBIGEO_HECHO,int64,0,0.0,1702,10101 | 10103 | 10106 | 10108 | 10109
Temp6,140426,10,4,DPTO_HECHO_NEW,object,0,0.0,26,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO
Temp6,140426,10,5,PROV_HECHO,object,0,0.0,195,CHACHAPOYAS | BAGUA | BONGARA | CONDORCANQUI | LUYA
