columna,tipo_dato,cantidad_nulos,porcentaje_nulos
anio,int64,0,0.0
mes,int64,0,0.0
fecha,object,0,0.0
anio_mes,object,0,0.0
trimestre,int64,0,0.0
ubigeo,int64,0,0.0
departamento,object,0,0.0
provincia,object,0,0.0
distrito,object,0,0.0
poblacion,int64,0,0.0
tasa_denuncias_100k,float64,0,0.0
n_comisarias_ref_2020,int64,0,0.0
comisarias_por_100k_ref_2020,float64,120625,15.61
denuncias_por_comisaria_ref_2020,float64,120625,15.61
n_comisarias_rurales_ref_2020,int64,0,0.0
n_comisarias_sectoriales_ref_2020,int64,0,0.0
n_comisarias_zonales_ref_2020,int64,0,0.0
match_comisarias_ref_2020,object,0,0.0
anio_fuente_comisarias,int64,0,0.0
fuente_comisarias,object,0,0.0
latitud_promedio_comisaria_ref_2020,float64,121594,15.74
longitud_promedio_comisaria_ref_2020,float64,121594,15.74
n_policias_ref_2025,int64,0,0.0
policias_por_100k_ref_2025,float64,88959,11.51
denuncias_por_policia_ref_2025,float64,88959,11.51
match_policias,object,0,0.0
dist_emergencia,object,0,0.0
tipo_analisis,object,0,0.0
nivel_detalle,object,0,0.0
tipo,object,0,0.0
sub_tipo,object,0,0.0
modalidad,object,0,0.0
categoria,object,0,0.0
cantidad,int64,0,0.0
cantidad_departamento_delitos,int64,0,0.0
cantidad_departamento_misma_categoria,float64,239066,30.94
participacion_en_delitos_departamento_pct,float64,0,0.0
participacion_misma_categoria_departamento_pct,float64,239066,30.94
tasa_departamento_delitos_100k_referencial,float64,0,0.0
score_completitud,int64,0,0.0
n_policias_masculino_ref_2025,int64,0,0.0
n_policias_femenino_ref_2025,int64,0,0.0
pct_policias_femenino_ref_2025,float64,88959,11.51
n_policias_oficial_ref_2025,int64,0,0.0
n_policias_suboficial_ref_2025,int64,0,0.0
n_policias_operativo_ref_2025,int64,0,0.0
n_policias_administrativo_ref_2025,int64,0,0.0
pct_policias_operativo_ref_2025,float64,88959,11.51
anio_fuente_policias,int64,0,0.0
mes_fuente_policias,int64,0,0.0
fuente_policias,object,0,0.0
n_comisarias_tipo_A_ref_2020,int64,0,0.0
n_comisarias_tipo_B_ref_2020,int64,0,0.0
n_comisarias_tipo_C_ref_2020,int64,0,0.0
n_comisarias_tipo_D_ref_2020,int64,0,0.0
n_comisarias_tipo_E_ref_2020,int64,0,0.0
